feedback_id,customer_id,feedback_text,feedback_category,date,sentiment,response_required,response_time,resolved
1,4401,Situation for quality owner in play his.,Product Quality,2024-04-14,neutral,Yes,,Yes
2,1040,Its fish continue response short free.,Delivery,2024-01-08,negative,Yes,58.88024777201848,No
3,1493,Collection receive task would whole wall same.,Pricing,2024-09-02,negative,No,38.39577659761625,No
4,4839,Prepare meeting book modern law seven doctor represent indeed.,Customer Support,2024-05-30,neutral,Yes,31.678196799694,Yes
5,1492,Need total boy type response they visit.,Product Quality,2024-09-03,negative,Yes,,No
6,1676,Candidate strategy style individual especially speak blue thought.,Product Quality,2024-06-09,neutral,Yes,56.043616543902516,No
7,1638,Front student network reduce organization involve those cultural.,Product Quality,2024-07-28,negative,Yes,,Yes
8,3549,Born within enough PM your else well another onto.,Pricing,2024-01-06,negative,No,,No
9,3767,Home necessary another role quite firm teach.,Customer Support,2024-02-22,negative,Yes,,No
10,4304,Offer feeling start.,Product Quality,2024-04-12,positive,Yes,17.10389077171034,No
11,4986,Doctor executive discover lay.,Customer Support,2024-05-16,negative,Yes,36.861039785877374,No
12,3427,Issue human rate capital.,Customer Support,2024-07-13,positive,Yes,36.538716218481355,Yes
13,1653,Bit main personal suddenly seem charge begin.,Product Quality,2024-06-15,negative,Yes,,Yes
14,2482,Eight type deal early assume including short friend its.,Delivery,2024-07-27,neutral,Yes,,No
15,3564,Popular city quickly start reduce they than national myself.,Product Quality,2024-02-25,positive,No,,Yes
16,4611,Strong language if law smile base pick me per child kind responsibility phone light safe.,Delivery,2024-08-01,positive,Yes,12.831763159584755,No
17,2920,Several hope rock seem that help simply fall shake out any quite movie per.,Pricing,2024-08-16,negative,No,,Yes
18,3835,Focus lead drop rate test edge finally building bring.,Delivery,2024-08-15,neutral,No,25.281340432654755,Yes
19,4437,Budget if policy himself back attack reflect.,Pricing,2024-01-25,positive,No,,No
20,1523,More on discuss.,Delivery,2024-05-31,neutral,Yes,,Yes
21,4066,Almost long police and important cup laugh would price window appear.,Delivery,2024-03-20,neutral,Yes,56.04178821761209,No
22,4591,Wife believe church activity class simple scientist law mouth tend expert.,Product Quality,2024-01-30,positive,Yes,,Yes
23,2822,Cold lead arm attention.,Delivery,2024-08-21,negative,No,,Yes
24,3061,Ever approach book worry.,Pricing,2024-02-06,negative,Yes,16.86564703103028,Yes
25,1176,Notice film anyone near similar he training painting region ok simple despite.,Delivery,2024-06-01,neutral,Yes,,Yes
26,1077,Plant hour us include size me technology the treat money fine firm word building physical.,Product Quality,2024-06-23,neutral,No,,Yes
27,1314,Economy place stop tell.,Customer Support,2024-05-25,neutral,Yes,28.876462250312386,No
28,1971,Different teacher station world area rock fine.,Pricing,2024-02-25,negative,No,40.0380947411411,No
29,2568,Big sign occur want participant any.,Delivery,2024-02-02,negative,Yes,20.857324840582457,No
30,3391,Weight listen meet easy ago time process sister claim.,Pricing,2024-04-20,neutral,No,,Yes
31,1494,Traditional term deep recent fine those indicate change management machine never.,Product Quality,2024-05-01,neutral,Yes,,Yes
32,3716,Financial tend cold just look enough quite election community wonder pull room.,Product Quality,2024-03-17,negative,Yes,42.85264362118323,No
33,3442,Star art quickly.,Delivery,2024-06-04,neutral,No,,Yes
34,2169,Who popular market magazine television need family billion center run range information your less policy pay board employee.,Pricing,2024-07-01,neutral,Yes,,No
35,1595,Nothing station prevent health media wonder wall wear I reflect.,Customer Support,2024-09-06,negative,No,,Yes
36,2653,Say conference candidate develop arrive success serious within prevent force off same also.,Customer Support,2024-07-27,positive,Yes,,No
37,3767,Action long international make.,Customer Support,2024-02-20,positive,No,39.26676994279256,Yes
38,3219,Stop begin ball hot when effort politics mean miss find point buy air main team would.,Product Quality,2024-09-12,negative,Yes,52.70559309560694,No
39,3536,Gun interest theory second model wall.,Pricing,2024-02-12,neutral,Yes,36.40078311290864,No
40,2006,Physical tax perhaps kid you modern appear indicate evening cut before.,Product Quality,2024-01-31,negative,Yes,25.035316480518652,No
41,1800,Mind real mother a activity leader side bring there happen.,Delivery,2024-04-02,negative,Yes,18.003785279449627,No
42,2365,Describe same human expect today.,Customer Support,2024-02-19,positive,No,,No
43,4359,Write great summer place its often account amount idea others box early career name sometimes southern.,Product Quality,2024-08-01,neutral,Yes,13.86899591812223,No
44,3036,Article sure summer receive summer least house thousand chair box.,Customer Support,2024-09-07,negative,No,31.033163759339242,Yes
45,1332,Process hundred television by sort camera add most prove argue face term property way sit glass.,Product Quality,2024-07-31,positive,No,32.086449567464285,No
46,2864,Idea have clear determine her four suffer voice price half present unit forget.,Product Quality,2024-03-12,positive,No,,Yes
47,4472,On defense chair over you upon well all tough it visit present window whole article television increase stand walk.,Customer Support,2024-08-23,neutral,No,,No
48,2235,Stand point friend agreement young year million week because far occur.,Pricing,2024-03-16,neutral,Yes,10.850319702514446,No
49,4040,Plant wish reduce serve foreign difference stage west last field difficult capital book second any.,Product Quality,2024-03-03,positive,Yes,,Yes
50,2371,Civil nothing determine process research yet unit security read gun.,Customer Support,2024-03-18,negative,No,23.74706767057982,Yes
51,4828,Reality standard represent first.,Pricing,2024-07-29,positive,No,43.362041034583804,No
52,3079,Police network beautiful picture morning end approach both strategy street discover remain eat body international maybe once chair.,Product Quality,2024-08-11,positive,No,,No
53,2225,Approach subject news second east safe present add subject item exactly American send require.,Delivery,2024-01-19,positive,Yes,,No
54,4286,Include way summer tonight provide long claim not quickly specific ten mission shoulder.,Product Quality,2024-08-10,neutral,No,,No
55,3262,Win traditional amount treat year strong color begin agreement even.,Pricing,2024-03-21,positive,No,,No
56,1170,Political drive he technology his total house expect prepare on.,Pricing,2024-03-11,neutral,Yes,39.89752494228944,No
57,4622,Surface Mrs them see green analysis hour common weight responsibility think return model if gun change.,Product Quality,2024-03-13,neutral,No,,No
58,1495,Someone practice mind throw.,Product Quality,2024-03-24,neutral,No,,No
59,3874,Edge animal stop option these writer suddenly give Republican.,Customer Support,2024-02-29,positive,No,15.99351437928588,Yes
60,1178,Hospital himself success sport car buy.,Delivery,2024-08-21,negative,No,,No
61,4222,Best speech color challenge world food easy system sister simple.,Customer Support,2024-05-12,negative,Yes,10.557102541779814,Yes
62,4610,Professor attack necessary.,Product Quality,2024-05-10,positive,No,16.196030401467183,No
63,3653,Black business anyone car close red around meeting eye under important speech.,Product Quality,2024-03-12,neutral,Yes,,Yes
64,1285,Drug east itself head adult.,Pricing,2024-06-27,negative,Yes,18.859722103777695,No
65,2834,Operation into spring personal item few expect.,Customer Support,2024-09-02,positive,No,22.2275493825473,Yes
66,2729,Security crime director consider those down dog year according artist.,Product Quality,2024-02-18,positive,Yes,42.78046800243457,Yes
67,3524,Doctor fire officer lay positive model.,Product Quality,2024-06-20,negative,No,37.7646869306143,Yes
68,4972,Lawyer doctor production professor quickly school.,Product Quality,2024-04-12,negative,Yes,,No
69,4072,Already environment understand kind smile poor she might have movie.,Pricing,2024-07-13,positive,Yes,59.24812993049815,No
70,1786,Father organization themselves finish born sign hotel final type increase prepare see lead.,Customer Support,2024-03-13,neutral,Yes,,No
71,1683,Receive house minute state during.,Product Quality,2024-06-08,negative,Yes,48.34955390416347,No
72,1013,Treatment huge under yeah forward.,Delivery,2024-02-26,negative,Yes,42.215483171848,Yes
73,1328,Free full and create different development special data.,Delivery,2024-06-28,negative,Yes,31.720441228955973,Yes
74,3193,Our argue believe industry young certain remain cold cut yes charge.,Product Quality,2024-04-05,negative,No,,Yes
75,4540,Growth along suggest picture your between authority.,Product Quality,2024-04-13,negative,Yes,37.01296860177658,Yes
76,3665,Gun yes door source budget draw ago western catch.,Delivery,2024-05-03,positive,Yes,,No
77,2347,Enjoy position seek resource radio.,Customer Support,2024-07-02,positive,No,,Yes
78,3509,Soon plant require region admit resource necessary Republican away.,Customer Support,2024-01-25,neutral,No,25.6812266585302,Yes
79,3648,Product develop bag necessary really across task federal reach agreement ground language call.,Pricing,2024-03-16,negative,No,56.98692175427554,Yes
80,1174,Reason true wrong her dinner western recently loss involve.,Product Quality,2024-08-10,positive,Yes,,No
81,1350,Answer service brother service nature positive take return high wish continue fight.,Pricing,2024-08-16,positive,No,,No
82,4432,Why although think mission determine program country good store become.,Customer Support,2024-02-11,negative,Yes,,No
83,4243,Part station assume standard TV call appear sound.,Delivery,2024-06-14,negative,Yes,38.21138108468017,Yes
84,4075,Month arm late international.,Pricing,2024-01-06,positive,No,55.62930711176936,No
85,2381,Without large once medical church section ten couple expect discuss.,Product Quality,2024-08-21,positive,No,,No
86,4545,Movement specific make federal within town learn.,Delivery,2024-01-26,neutral,Yes,,Yes
87,2773,Professional listen movie both quickly far without miss data.,Customer Support,2024-01-29,positive,No,,Yes
